code,name,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,turnover_rate,suspension,listing_date,lot_size,price_spread,stock_owner,ask_price,bid_price,ask_vol,bid_vol,enable_margin,mortgage_ratio,long_margin_initial_ratio,enable_short_sell,short_sell_rate,short_available_volume,short_margin_initial_ratio,amplitude,avg_price,bid_ask_ratio,volume_ratio,highest52weeks_price,lowest52weeks_price,highest_history_price,lowest_history_price,close_price_5min,after_volume,after_turnover,sec_status,equity_valid,issued_shares,total_market_val,net_asset,net_profit,earning_per_share,outstanding_shares,circular_market_val,net_asset_per_share,ey_ratio,pe_ratio,pb_ratio,pe_ttm_ratio,dividend_ttm,dividend_ratio_ttm,dividend_lfy,dividend_lfy_ratio,wrt_valid,wrt_conversion_ratio,wrt_type,wrt_strike_price,wrt_maturity_date,wrt_end_trade,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,wrt_leverage,wrt_ipop,wrt_break_even_point,wrt_conversion_price,wrt_price_recovery_ratio,wrt_score,wrt_upper_strike_price,wrt_lower_strike_price,wrt_inline_price_status,wrt_issuer_code,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_premium,option_delta,option_gamma,option_vega,option_theta,option_rho,option_net_open_interest,option_expiry_date_distance,option_contract_nominal_value,option_owner_lot_multiplier,option_area_type,option_contract_multiplier,index_option_type,index_valid,index_raise_count,index_fall_count,index_equal_count,plate_valid,plate_raise_count,plate_fall_count,plate_equal_count,future_valid,future_last_settle_price,future_position,future_position_change,future_main_contract,future_last_trade_time,trust_valid,trust_dividend_yield,trust_aum,trust_outstanding_units,trust_netAssetValue,trust_premium,trust_assetClass,pre_price,pre_high_price,pre_low_price,pre_volume,pre_turnover,pre_change_val,pre_change_rate,pre_amplitude,after_price,after_high_price,after_low_price,after_change_val,after_change_rate,after_amplitude,overnight_price,overnight_high_price,overnight_low_price,overnight_volume,overnight_turnover,overnight_change_val,overnight_change_rate,overnight_amplitude
US.TSLA260810C185000,TSLA 260810 185.00C,2026-08-07 09:30:00,134.5895,0.0,0.0,0.0,134.5895,0.0,0.0,0.0,False,N/A,100,0.05,US.TSLA,145.5,141.4,1.0,3.0,,,,,,,,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-10,185.0,100.0,0,0.0,-2.736,0.0,0.0,0.0,0.0,0.0,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810P185000,TSLA 260810 185.00P,2026-08-06 09:30:00,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,False,N/A,100,0.01,US.TSLA,0.05,0.0,1.0,0.0,,,,,,,,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-10,185.0,100.0,42,243.113,43.697,-1.0036e-05,9.97e-07,8.323e-06,-9.9999e-05,2.15e-07,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810C190000,TSLA 260810 190.00C,2026-08-07 09:30:00,129.5915,0.0,0.0,0.0,129.5915,0.0,0.0,0.0,False,N/A,100,0.05,US.TSLA,140.5,136.4,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-10,190.0,100.0,0,0.0,-2.735,0.0,0.0,0.0,0.0,0.0,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810P190000,TSLA 260810 190.00P,2026-08-07 09:30:00,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,False,N/A,100,0.01,US.TSLA,0.05,0.0,1.0,0.0,,,,,,,,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-10,190.0,100.0,166,232.213,42.175,-1.0497e-05,1.089e-06,8.687e-06,-9.9999e-05,2.2e-07,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810C195000,TSLA 260810 195.00C,2026-08-07 09:30:00,124.5935,0.0,0.0,0.0,124.5935,0.0,0.0,0.0,False,N/A,100,0.05,US.TSLA,135.5,131.4,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-10,195.0,100.0,0,0.0,-2.735,0.0,0.0,0.0,0.0,0.0,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810P195000,TSLA 260810 195.00P,2026-08-07 09:30:59,0.01,0.01,0.01,0.01,0.0001,1.0,1.0,0.0,False,N/A,100,0.01,US.TSLA,0.05,0.0,1.0,0.0,,,,,,,,0.0,0.01,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-10,195.0,100.0,83,295.857,40.656,-0.000651156,4.1434e-05,0.000419881,-0.009999973,-5.631e-06,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810C200000,TSLA 260810 200.00C,2026-08-07 09:30:00,119.5956,0.0,0.0,0.0,119.5956,0.0,0.0,0.0,False,N/A,100,0.05,US.TSLA,130.5,126.4,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-10,200.0,100.0,0,0.0,-2.734,0.0,0.0,0.0,0.0,0.0,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810P200000,TSLA 260810 200.00P,2026-08-07 14:07:45,0.01,0.01,0.01,0.01,0.0001,43.0,43.0,0.0,False,N/A,100,0.01,US.TSLA,0.02,0.0,5.0,0.0,,,,,,,,0.0,0.01,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-10,200.0,100.0,84,282.341,39.135,-0.000681476,4.5279e-05,0.000437892,-0.00999999,-5.904e-06,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810C205000,TSLA 260810 205.00C,2026-08-07 09:30:00,114.5977,0.0,0.0,0.0,114.5977,0.0,0.0,0.0,False,N/A,100,0.05,US.TSLA,125.5,121.4,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-10,205.0,100.0,0,0.0,-2.733,0.0,0.0,0.0,0.0,0.0,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.TSLA260810P205000,TSLA 260810 205.00P,2026-08-07 09:30:00,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,False,N/A,100,0.01,US.TSLA,0.05,0.0,1.0,0.0,,,,,,,,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-10,205.0,100.0,59,201.099,37.61,-1.2082e-05,1.438e-06,9.933e-06,-9.9999e-05,2.36e-07,N/A,1,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
