code,name,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,turnover_rate,suspension,listing_date,lot_size,price_spread,stock_owner,ask_price,bid_price,ask_vol,bid_vol,enable_margin,mortgage_ratio,long_margin_initial_ratio,enable_short_sell,short_sell_rate,short_available_volume,short_margin_initial_ratio,amplitude,avg_price,bid_ask_ratio,volume_ratio,highest52weeks_price,lowest52weeks_price,highest_history_price,lowest_history_price,close_price_5min,after_volume,after_turnover,sec_status,equity_valid,issued_shares,total_market_val,net_asset,net_profit,earning_per_share,outstanding_shares,circular_market_val,net_asset_per_share,ey_ratio,pe_ratio,pb_ratio,pe_ttm_ratio,dividend_ttm,dividend_ratio_ttm,dividend_lfy,dividend_lfy_ratio,wrt_valid,wrt_conversion_ratio,wrt_type,wrt_strike_price,wrt_maturity_date,wrt_end_trade,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,wrt_leverage,wrt_ipop,wrt_break_even_point,wrt_conversion_price,wrt_price_recovery_ratio,wrt_score,wrt_upper_strike_price,wrt_lower_strike_price,wrt_inline_price_status,wrt_issuer_code,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_premium,option_delta,option_gamma,option_vega,option_theta,option_rho,option_net_open_interest,option_expiry_date_distance,option_contract_nominal_value,option_owner_lot_multiplier,option_area_type,option_contract_multiplier,index_option_type,index_valid,index_raise_count,index_fall_count,index_equal_count,plate_valid,plate_raise_count,plate_fall_count,plate_equal_count,future_valid,future_last_settle_price,future_position,future_position_change,future_main_contract,future_last_trade_time,trust_valid,trust_dividend_yield,trust_aum,trust_outstanding_units,trust_netAssetValue,trust_premium,trust_assetClass,pre_price,pre_high_price,pre_low_price,pre_volume,pre_turnover,pre_change_val,pre_change_rate,pre_amplitude,after_price,after_high_price,after_low_price,after_change_val,after_change_rate,after_amplitude,overnight_price,overnight_high_price,overnight_low_price,overnight_volume,overnight_turnover,overnight_change_val,overnight_change_rate,overnight_amplitude
US.NVDA260814P190000,NVDA 260814 190.00P,2026-08-07 15:57:54,0.08,0.12,0.13,0.08,0.17,2090.0,19994.0,0.0,False,N/A,100,0.01,US.NVDA,0.08,0.07,10.0,165.0,,,,,,,,29.412,0.09566507177,88.571,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-14,190.0,100.0,5851,63.261,15.199,-0.012552486,0.00193552,0.008614495,-0.042962622,-0.000362426,N/A,5,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.NVDA260814C192500,NVDA 260814 192.50C,2026-08-07 15:29:41,30.63,30.27,32.3,29.67,26.7589,55.0,168941.0,0.0,False,N/A,100,0.05,US.NVDA,32.15,29.0,13.0,108.0,,,,,,,,9.829,30.71654545454,78.512,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-14,192.5,100.0,429,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,N/A,5,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.NVDA260814P192500,NVDA 260814 192.50P,2026-08-07 15:59:20,0.1,0.14,0.14,0.1,0.2,791.0,9035.0,0.0,False,N/A,100,0.01,US.NVDA,0.11,0.09,197.0,140.0,,,,,,,,20.0,0.11422250315999999,-16.914,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-14,192.5,100.0,1672,61.35,14.091,-0.016697973,0.002551575,0.01101184,-0.054579027,-0.000488015,N/A,5,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.NVDA260814C195000,NVDA 260814 195.00C,2026-08-07 15:48:40,28.0,27.3,29.87,26.87,24.3109,294.0,830292.0,0.0,False,N/A,100,0.05,US.NVDA,29.6,27.35,12.0,72.0,,,,,,,,12.34,28.241224489790003,71.429,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-14,195.0,100.0,2891,0.0,-0.428,0.0,0.0,0.0,0.0,0.0,N/A,5,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.NVDA260814P195000,NVDA 260814 195.00P,2026-08-07 15:59:35,0.11,0.18,0.18,0.11,0.25,993.0,13361.0,0.0,False,N/A,100,0.01,US.NVDA,0.12,0.11,60.0,257.0,,,,,,,,28.0,0.13455186304,62.145,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-14,195.0,100.0,9291,58.058,12.979,-0.019881008,0.003128517,0.012776383,-0.060801432,-0.000583496,N/A,5,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.NVDA260814C197500,NVDA 260814 197.50C,2026-08-07 15:38:50,25.54,25.0,27.3,24.5,21.8778,304.0,769250.0,0.0,False,N/A,100,0.05,US.NVDA,27.55,25.0,51.0,94.0,,,,,,,,12.798,25.304276315779997,29.655,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-14,197.5,100.0,1028,0.0,-0.41,0.0,0.0,0.0,0.0,0.0,N/A,5,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.NVDA260814P197500,NVDA 260814 197.50P,2026-08-07 15:59:33,0.13,0.23,0.23,0.12,0.315,11231.0,171195.0,0.0,False,N/A,100,0.01,US.NVDA,0.14,0.13,57.0,36.0,,,,,,,,34.921,0.15243077197,-22.581,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-14,197.5,100.0,1807,54.879,11.872,-0.02410993,0.003895219,0.015035109,-0.068724741,-0.000710703,N/A,5,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.NVDA260814C200000,NVDA 260814 200.00C,2026-08-07 15:59:56,24.24,22.35,25.0,21.92,19.4897,3002.0,6925853.0,0.0,False,N/A,100,0.05,US.NVDA,24.5,23.7,10.0,20.0,,,,,,,,15.803,23.0707961359,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-14,200.0,100.0,6305,40.865,0.125,0.991197951,0.002199757,0.006329788,-0.040673218,0.027742002,N/A,5,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.NVDA260814P200000,NVDA 260814 200.00P,2026-08-07 15:59:59,0.17,0.3,0.3,0.14,0.425,6788.0,138270.0,0.0,False,N/A,100,0.01,US.NVDA,0.17,0.15,366.0,136.0,,,,,,,,37.647,0.20369770182,-45.817,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,PUT,2026-08-14,200.0,100.0,11514,51.698,10.774,-0.029540931,0.004899532,0.017814,-0.078006596,-0.000874241,N/A,5,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
US.NVDA260814C202500,NVDA 260814 202.50C,2026-08-07 15:47:34,20.6,20.37,22.5,19.4,17.1366,460.0,948339.0,0.0,False,N/A,100,0.05,US.NVDA,22.1,20.1,38.0,109.0,,,,,,,,18.09,20.616065217390002,48.299,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL,False,,,,,,,,,,,,,,,,,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,True,CALL,2026-08-14,202.5,100.0,6218,0.0,-0.383,0.0,0.0,0.0,0.0,0.0,N/A,5,N/A,N/A,AMERICAN,100.0,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
